x,y
15.463072575648273,79.62687656900847
72.06276301377163,86.31996169819341
98.74150728638918,57.38400299978408
78.06248401454891,26.391092398840797
46.249869784063556,1.191761860546825
11.679764957208027,28.362582752395614
54.66498565896495,64.56494241887847
88.71714454559046,7.608007725130273
77.9522407989961,67.85937119473856
48.4934439920928,29.490579967715156
40.80212460676478,17.08714403340682
45.28037591175518,77.5647112725045
28.99475149261089,85.8493965959007
21.23889823730949,15.920965354378303
31.562792481435242,36.258614357595185
87.57185396693743,41.497824567869635
2.4637136351091438,13.075954109193432
28.785015637816436,3.4470486072564532
68.91324284820317,47.891725386751226
16.364049171019435,46.00151274996166
27.779457775178194,69.00863288898064
10.77866825275412,98.84489972972563
96.85174040758035,29.100453691768426
63.47895987963087,12.59695146274965
63.924872644796224,33.7351748099736
97.41983964940269,78.32068537492958
85.70593497240756,91.86925181533529
12.468989247695472,64.82627798285765
36.60927743017501,53.90551852550697
54.90895912078887,88.22695836378013
54.7692210697073,47.800745508812014
75.04043380839329,1.6762138446015706
84.65083149095362,55.40072814898216
